trmt,plug,peat,diff,,
1,7.040272142,1.86818892,5.172083222,276.8501176,
1,8.531381926,1.97884427,6.552537656,331.1295262,
1,7.082656738,2.44981324,4.632843498,189.1100686,265.6965708
2,16.13872291,5.92154889,10.21717402,172.5422556,
2,12.08838114,8.2400378,3.84834334,46.70298163,
2,14.73724135,8.05047956,6.68676179,83.06041572,100.768551
3,19.95043243,8.79055951,11.15987292,126.9529307,
3,19.71398976,10.0207853,9.69320446,96.73098634,
3,17.4909571,11.164953,6.3260041,56.6594781,93.44779837
4,13.74079487,12.0745919,1.66620297,13.79924873,
4,18.9447052,12.1855138,6.7591914,55.46907181,
4,14.93057614,5.34497273,9.58560341,179.3386776,82.86899937
,,,,135.6954799,
,,,,97.26302952,