trmt,cum_co2_c,initial_c,final_c,c_loss,,,,,,initial_c_perc,initial_dm,final_c_perc,final_dm
1,1.920074221,21.09771,18.710912,2.386798,,,,,,44.23,47.7,43.84,42.68
1,2.326740525,21.10248,20.2047669,4.019148,,,,,,44.24,47.7,44.37,45.537
1,0.023908809,21.19788,19.1120724,0.8977131,,,,,,44.44,47.7,44.76,42.699
1,1.931633656,21.1311,17.111952,2.0858076,,,,,,44.3,47.7,44.32,38.61
2,4.401469886,27.470415,21.9041328,5.5662822,,,,,,46.13,59.55,44.88,48.806
2,3.296831221,27.05952,25.52796675,5.1145962,,,,,,45.44,59.55,44.91,56.8425
2,0.176166652,27.029745,21.9151488,1.53155325,,,,,,45.39,59.55,45.52,48.144
2,4.019247642,27.184575,17.8900425,7.242885,,,,,,45.65,59.55,45.1,39.6675
3,5.441027026,34.30635,27.063465,9.2945325,,,,,,47.45,72.3,45.88,58.9875
3,1.694379576,33.72795,27.1605741,6.5673759,,,,,,46.65,72.3,46.42,58.5105
3,5.376542663,34.91367,23.9699133,10.9437567,,,,,,48.29,72.3,44.89,53.397
3,4.770261028,34.31358,27.8171017,6.4964783,,,,,,47.46,72.3,45.73,60.829
4,3.74748951,39.759795,34.77456,5.108166,,,,,,47.35,83.97,47.12,73.8
4,5.166737783,39.625443,29.5638382,10.0616048,,,,,,47.19,83.97,46.43,63.674
4,4.071975311,40.196439,31.7281179,8.4683211,,,,,,47.87,83.97,46.99,67.521
4,0.020890138,39.860559,34.752393,4.985235,,,,,,47.47,83.97,46.85,74.178