br,cum_co2_g,trmt,dm,co2_per_dm
1,1.868188918,1,57.89,0.032271358
13,1.978844269,1,57.89,0.034182834
14,0.128591309,1,57.89,0.002221304
16,2.449813235,1,57.89,0.042318418
6,5.921548888,2,70.47,0.084029358
8,8.240037796,2,70.47,0.116929726
9,8.05047956,2,70.47,0.114239812
11,3.297453139,2,70.47,0.046792297
2,5.244405662,3,82.27,0.06374627
5,8.790559505,3,82.27,0.106850122
12,10.02078529,3,82.27,0.121803638
15,11.16495298,3,82.27,0.13571111
3,1.827198418,4,94.42,0.019351815
4,12.07459194,4,94.42,0.127881719
7,12.18551384,4,94.42,0.129056491
10,5.344972733,4,94.42,0.056608481
17,0,R,,